,sample,he-score-min,ground-truth,generated-descrip,model,suspect
31,63e4c4e869d29aa8,1,This dashboard icon depicts a seated person wearing a seatbelt with an inflated airbag in front of them,"The dashboard icon shows a simplified representation of a person, with an arm bent to create a 'V' shape, wearing a seatbelt and sitting in a car seat. Above the person's head is a large circle, likely representing a side airbag deployment.",llava,Y
32,649a9a82bbf93748,1,"This dashboard icon depicts the outline of a car with two arcs that symbolize the blind spot zone in it's bottom left corner and the outline of another car to the bottom left of the arcs. To the right of this, there is also an exclamation mark","The icon features a stylized car with three exclamation marks above it, each next to a symbol representing the blind spot detection system.",llava,Y
33,64f39b6b93dc5c60,1,"This dashboard icon depicts the word ""LIM"" to represent limit with a speed meter on top of the word positioned slightly more left. There is also an exclamation mark to the top right of the word","The image shows a dashboard icon with a speedometer dial and an exclamation mark, indicating there is a fault in the active speed limiter system.",llava,
34,686869694d4dd4d4,1,This gray dashboard icon depicts a road with lane markings and the word “OFF” written below,"The dashboard icon displays a gray graphic of a road with two arrows indicating lane direction, accompanied by the words 'OFF'",llava,Y
36,704d4d69d4c47961,1,"This dashboard icon depicts a traffic sign with the word ""OFF"" under it","This icon shows a car with a speedometer, and the words 'OFF' below.",llava,Y
37,82308282b89a4290,1,"This dashboard icon depicts the letter ""P"" to represent ""Parking"" with 3 lines curved represent a signal to overall represent a parking sensor. To the right of this there is a triangle with a line underneath it to represent a warning sign and to the right of the triangle there is an exclamation mark",The icon consists of a car with an exclamation mark inside and three lines indicating sound waves,llava,Y
39,88338ec8c88e3345,1,This green dashboard icon depicts two lights and each light symbol has three horizontal lines representing beams of light emanating from it,The dashboard icon is a stylized representation of two light fixtures with the word “LIM” written below them.,llava,Y
40,8961e1d89e1e018d,1,This green dashboard icon depicts a shoe and the vehicle’s accelerator pedal as seen from the side. The foot is touching the pedal.,"The icon is a graphic of a shoe with an exclamation mark inside it, along with a green arrow pointing upwards",llava,Y
41,8b54d49c9294d926,1,"This blue dashboard icon depicts a vehicle headlight with five horizontal lines representing beams of light emanating from the headlight. The letter ""A"" appears next to the headlight",This blue dashboard icon features the letters 'A' and 'C' inside a shield shape. The 'C' is larger than the 'A' and they are connected by a horizontal bar.,llava,Y
42,904bb4ca2b8ed423,1,This dashboard icon depicts a side view of an outline of a car with the hood open,"The dashboard icon displays an outline of a car with the hood open, above which there is a snowflake symbol",llava,Y
43,924dcc8c8eb2c001,2,"This red dashboard icon depicts a car battery with ""+"" and ""-"" symbols representing positive and negative terminals of the battery","The image shows a dashboard icon in the shape of a battery with a plus sign at one end and a minus sign at the other, indicating the presence of electrical components",llava,
44,9669aaaa4d69b34d,1,"This amber dashboard icon depicts a vehicle headlight with five vertical lines representing beams of light emanating from the headlight. Next to the vertical lines are two arrows, one arrow points to the left and other points to the right.","The dashboard icon is a representation of an engine with a malfunctioning headlight, indicated by the light being out and the word 'FAULT' below.",llava,Y
45,96b4b19694748494,1,"This dashboard icon depicts the word ""ESC"" which stands for electronic stability control and the word ""OFF"". The word ""OFF"" is under the word ""ESC""",The dashboard icon is a warning light indicating the electronic stability control (ESC) system is turned off,llava,Y
46,9768486872f2621f,1,This dashboard icon depicts a gas pump with a slash going through the middle of the gas pump taking visibility priority over the gas pump,"The dashboard icon features a gasoline pump with an exclamation mark above it, and a line through the nozzle",llava,Y
47,9966e4b4b6e4649a,1,"This amber dashboard icon depicts a vehicle fog light with three horizontal lines representing beams of light emanating from the fog light. The horizontal lines are bisected by a vertical wavy line representing fog and the horizontal lines appear to the right of the light, which indicates a rear light.","The dashboard icon features a symbol resembling a lighthouse, with an orange and yellow color scheme.",llava,Y
48,99c8cad3d3ca9869,1,This dashboard icon depicts a vehicle fog light with three horizontal lines representing beams of light emanating from the light. The horizontal lines are bisected by a vertical wavy line representing fog and the horizontal lines appear to the left of the light.,"The image shows a dashboard icon with the letter 'D' enclosed within a rectangle, and it appears to be connected to an arrow pointing right.",llava,Y
49,a916add8d89b24d8,1,This dashboard icon depicts the side view of the front half of a car that is travelling left with a bent star in front of the car to represent a collision. To the right of the car is an exclamation mark,"The image displays a black and white icon that features a vehicle with an exclamation mark above it. There are two stars on either side of the vehicle, and a large exclamation mark is placed above the vehicle's roofline.",llava,Y
50,b234e81333ecd092,2,This dashboard icon depicts a side view of an outline of a car with a slash going through the middle of the car taking visibility priority over the car. On top of the car is a triangle representing up and on the bottom is an upside down triangle representing down,"A symbol showing a car with a diagonal line through it, above an arrow pointing upwards",llava,
52,b2aa4dd44df09671,1,This dashboard icon depicts a exterior light on a vehicle with lines coming out which represents light. Inside the exterior light is an exclamation mark,The image displays a warning sign resembling an exclamation mark inside a clock,llava,Y
53,b6b1b1313694d962,2,"This dashboard icon depicts a oil jug with a droplet, representing a droplet of oil, that fell from the tip of it. There is a thermometer going into the oil jug from the top to represent the taking of the oil's temperature","The icon features a car engine with an oil pan, containing an image of a thermometer and what appears to be a drop of liquid",llava,Y
54,b84238b0e44e8042,2,This dashboard icon depicts a turtle,This dashboard icon displays a turtle symbol,llava,
55,c2aab6e2c2c2e216,1,This dashboard icon depicts a gas pump with an exclamation mark to the right of the gas pump,"The image shows a dashboard icon with a gas tank symbol, an exclamation mark, and the words 'Fuel Level Sensor Failure Warning Light'.",llava,Y
57,d827e3d9d3e34b94,1,This dashboard icon depicts a cloud that has 4 left slanted lines with two longer ones and two shorter ones following a pattern of long-short-long-short representing rain. To the right of the cloud and rain is an exclamation mark,"The icon features a cloud with rain, an exclamation mark, and lightning bolts above a car silhouette",llava,Y
58,e6d6d6d6566698e6,1,"This dashboard icon depicts the word ""AUTO"" where on top is a lightbulb and to the right of the lightbulb is an exclamation mark. Inside the lightbulb is a small circle that is surrounded by a ring of squares which represent the sun",The image features a graphical representation of an auto headlight with the word '<td/>!,llava,Y
59,ec91b6acc4d4cc4c,1,"This dashboard icon depicts the back view of a car and to the bottom right of it is a meter representing the speed meter blocking the back right tire of the car. To the right of the car and top right of the meter, there is an arrow that is pointing at the meter. Inbetween the car and the sign and on top of the meter is a circular traffic sign","The icon consists of a graphic representation of a vehicle and a speedometer with the needle at the zero position, surrounded by other car-related symbols.",llava,Y
